"background","allele","perturbation"
"ORE","sd1",7.09619565217383
"ORE","sd1",7.09619565217383
"ORE","sdE3",3.66503623188389
"ORE","sdE3",3.66503623188389
"ORE","sdETX4",4.94461999769343
"ORE","sdETX4",4.94461999769343
"ORE","vg1",0
"ORE","vg1",0
"ORE","vg213",2.21861761426971
"ORE","vg213",2.21861761426971
"ORE","vg2a33",6.30485746137909
"ORE","vg2a33",6.30485746137909
"ORE","w",8.52463768115929
"ORE","w",8.52463768115929
"hybrid","sd1",7.09619565217383
"hybrid","sdE3",3.66503623188389
"hybrid","sdETX4",4.94461999769343
"hybrid","vg1",0
"hybrid","vg213",2.21861761426971
"hybrid","vg2a33",6.30485746137909
"hybrid","w",8.52463768115929
"SAM","sd1",7.09619565217383
"SAM","sd1",7.09619565217383
"SAM","sdE3",3.66503623188389
"SAM","sdE3",3.66503623188389
"SAM","sdETX4",4.94461999769343
"SAM","sdETX4",4.94461999769343
"SAM","vg1",0
"SAM","vg1",0
"SAM","vg213",2.21861761426971
"SAM","vg213",2.21861761426971
"SAM","vg2a33",6.30485746137909
"SAM","vg2a33",6.30485746137909
"SAM","w",8.52463768115929
"SAM","w",8.52463768115929
"hybrid","sd1",7.09619565217383
"hybrid","sdE3",3.66503623188389
"hybrid","sdETX4",4.94461999769343
"hybrid","vg1",0
"hybrid","vg213",2.21861761426971
"hybrid","vg2a33",6.30485746137909
"hybrid","w",8.52463768115929
