"","sample","file","background","mutation_type","perturbation","lane"
"ORE_sd1_r1_GTGGCC_L002_quant","ORE_sd1_r1_GTGGCC_L002_quant","quants/ORE_sd1_r1_GTGGCC_L002_quant/quant.sf","ORE","sd",2.565217391,"L002"
"ORE_sd1_r2_TTAGGC_L003_quant","ORE_sd1_r2_TTAGGC_L003_quant","quants/ORE_sd1_r2_TTAGGC_L003_quant/quant.sf","ORE","sd",2.565217391,"L003"
"ORE_sdE3_r1_GTGGCC_L004_quant","ORE_sdE3_r1_GTGGCC_L004_quant","quants/ORE_sdE3_r1_GTGGCC_L004_quant/quant.sf","ORE","sd",6.458333333,"L004"
"ORE_sdE3_r2_TGACCA_L005_quant","ORE_sdE3_r2_TGACCA_L005_quant","quants/ORE_sdE3_r2_TGACCA_L005_quant/quant.sf","ORE","sd",6.458333333,"L005"
"ORE_sdETX4_r1_ATCACG_L003_quant","ORE_sdETX4_r1_ATCACG_L003_quant","quants/ORE_sdETX4_r1_ATCACG_L003_quant/quant.sf","ORE","sd",5.435897436,"L003"
"ORE_sdETX4_r2_GTTTCG_L004_quant","ORE_sdETX4_r2_GTTTCG_L004_quant","quants/ORE_sdETX4_r2_GTTTCG_L004_quant/quant.sf","ORE","sd",5.435897436,"L004"
"ORE_vg1_r1_TGACCA_L007_quant","ORE_vg1_r1_TGACCA_L007_quant","quants/ORE_vg1_r1_TGACCA_L007_quant/quant.sf","ORE","vg",8.266666667,"L007"
"ORE_vg1_r2_TTAGGC_L001_quant","ORE_vg1_r2_TTAGGC_L001_quant","quants/ORE_vg1_r2_TTAGGC_L001_quant/quant.sf","ORE","vg",8.266666667,"L001"
"ORE_vg213_r1_AGTCAA_L006_quant","ORE_vg213_r1_AGTCAA_L006_quant","quants/ORE_vg213_r1_AGTCAA_L006_quant/quant.sf","ORE","vg",6.307692308,"L006"
"ORE_vg213_r2_CGATGT_L007_quant","ORE_vg213_r2_CGATGT_L007_quant","quants/ORE_vg213_r2_CGATGT_L007_quant/quant.sf","ORE","vg",6.307692308,"L007"
"ORE_vg2a33_r1_CGATGT_L005_quant","ORE_vg2a33_r1_CGATGT_L005_quant","quants/ORE_vg2a33_r1_CGATGT_L005_quant/quant.sf","ORE","vg",4.153846154,"L005"
"ORE_vg2a33_r2_AGTTCC_L006_quant","ORE_vg2a33_r2_AGTTCC_L006_quant","quants/ORE_vg2a33_r2_AGTTCC_L006_quant/quant.sf","ORE","vg",4.153846154,"L006"
