"","ORE_sd1_r1_GTGGCC_L002_quant","ORE_sd1_r2_TTAGGC_L003_quant","ORE_sdE3_r1_GTGGCC_L004_quant","ORE_sdE3_r2_TGACCA_L005_quant","ORE_sdETX4_r2_GTTTCG_L004_quant","ORE_vg1_r1_TGACCA_L007_quant","ORE_vg1_r2_TTAGGC_L001_quant","ORE_vg213_r1_AGTCAA_L006_quant","ORE_vg213_r2_CGATGT_L007_quant","ORE_vg2a33_r1_CGATGT_L005_quant","ORE_vg2a33_r2_AGTTCC_L006_quant","ORE_w_r1_ATCACG_L001_quant","ORE_w_r2_GTTTCG_L002_quant","OREf_SAMm_sd1_CTTGTA_L007_quant","OREf_SAMm_sdE3_ATTCCT_L002_quant","OREf_SAMm_sdETX4_GGCTAC_L001_quant","OREf_SAMm_vg1_CTTGTA_L005_quant","OREf_SAMm_vg213_ATTCCT_L004_quant","OREf_SAMm_vg2a33_GGCTAC_L003_quant","OREf_SAMm_w_GTCCGC_L006_quant","SAM_sd1_r1_CGTACG_L004_quant","SAM_sd1_r2_GCCAAT_L005_quant","SAM_sdE3_r1_ATGTCA_L006_quant","SAM_sdE3_r2_GCCAAT_L007_quant","SAM_sdETX4_r1_ACAGTG_L005_quant","SAM_sdETX4_r2_CCGTCC_L006_quant","SAM_vg1_r1_CGTACG_L002_quant","SAM_vg1_r2_GATCAG_L003_quant","SAM_vg213_r1_ACTTGA_L001_quant","SAM_vg213_r2_GAGTGG_L002_quant","SAM_vg2a33_r1_ACAGTG_L007_quant","SAM_vg2a33_r2_GATCAG_L001_quant","SAM_w_r1_ACTTGA_L003_quant","SAM_w_r2_GAGTGG_L004_quant","SAMf_OREm_sd1_GTGAAA_L006_quant","SAMf_OREm_sdE3_TAGCTT_L001_quant","SAMf_OREm_sdETX4_CAGATC_L007_quant","SAMf_OREm_vg1_ACTGAT_L004_quant","SAMf_OREm_vg213_TAGCTT_L003_quant","SAMf_OREm_vg2a33_ACTGAT_L002_quant","SAMf_OREm_w_CAGATC_L005_quant"
"FBgn0000008",873.006,370.249,625.414,766.326,346.287,622.163,304.127,781.373,273.011,772,792.873,872.598,950.545,659.203,797.331,661,1025.239,525.409,498.015,600.001,433.642,516,1272.14,939.001,925.066,256,758.011,546.607,1314.001,341.167,1002.118,683.178,827.216,655.027,518.001,430.326,628,529.381,737.211,491.005,680.568
"FBgn0000014",6,3,4,4,2,42,3,2,1,0,12,3,2,2,3,0,20,0,13,1,3,4,2,4,6,1,0,4,9,5,2,5,4,6,2,6,2,1,8,1,0
"FBgn0000015",0,0,3,2,0,5,0,0,0,0,1,0,1,0,3,2,3,1,0,0,2,0,1,0,0,0,1,1,1,1,2,1,0,0,0,0,0,1,0,1,0
"FBgn0000017",3653.109,1686.938,3226.26,3980.247,949.818,2976.296,1552.122,3357.849,907.604,3497.949,3371.236,3238.28,3751.963,2884.797,3654.497,3083.039,5574.138,2303.926,2468.902,2583.262,1734.924,2211.314,4192.955,2974.176,2778.462,1141.533,4243.622,2084.54,4793.641,1598.16,2907.83,2353.111,2565.461,2494.331,1861.685,2000.08,2552.767,2432.472,3131.085,2200.841,2699.299
"FBgn0000018",573.007,287.025,518.009,440.218,279,385.529,239,494.06,195,437,509.215,488,569,474,507,463.032,598,360,349,464.623,346,537,805,564,534.134,303.63,444.268,428,866,422.002,531.024,566,597,505,326,367.942,356,357,453,403.084,448.036
"FBgn0000022",710,505,746.262,606.103,569.026,310,292,406,413.01,443.633,671,732.008,976.063,684,614,692,815.006,447.015,765,604,435.46,729.122,859.021,539,487,464,500.218,429.069,608.72,302.095,624,738,831.041,826,709,565.111,392.011,540,576,548.708,890
"FBgn0000024",12,2,7,15.247,7,12,7,7,5,6,11,11,8,4,5,8,16,7,13,4,5,5,13,7,8,0,5,10,25,4,4,10,6,5,2,9,3,6,7,3,8
"FBgn0000028",13,7,55,32,40,19,11,15,11,24,17,20,32,28.004,35,49.001,47,31,49,24,18,16,39,17,29,9,34,15,35,21,28,27,37,39,18,31,18,17,30,26,35
"FBgn0000032",921.133,643,876.006,825.098,571.002,602.056,468,774.033,337,760.557,846.003,776.139,1103.615,753.294,896,693.003,1295.163,608,619,605.378,442.834,1010.515,1088.627,801.584,913.999,629,765.485,693.074,1034.553,667.339,604.101,878.015,886.609,760.535,489,760.45,559.453,821,853.626,503,902
"FBgn0000036",7,3,12,7,1,9,8,3,2,6,6,2,7,1,1,6,13,3,4,2,0,2,5,5,4,3,8,10,4,3,6,3,2,3,9,2,2,8,2,4,3
