uniquename	name	refseq_id
FBtr0005088	Pp2A-29B-RA	REFSEQ:NM_001032056
FBtr0006151	Adhr-RA	REFSEQ:NM_058147
FBtr0070000	Nep3-RA	REFSEQ:NM_078693
FBtr0070002	CG9570-RA	REFSEQ:NM_134524
FBtr0070003	Or19b-RA	REFSEQ:NM_167690
FBtr0070006	aspr-RA	REFSEQ:NM_134528
FBtr0070007	CG9577-RA	REFSEQ:NM_134531
FBtr0070008	CG9578-RA	REFSEQ:NM_134533
FBtr0070025	AnxB10-RA	REFSEQ:NM_057267
FBtr0070026	CG9581-RA	REFSEQ:NM_134532
FBtr0070027	Phf7-RA	REFSEQ:NM_134530
FBtr0070028	Rab35-RA	REFSEQ:NM_134529
FBtr0070029	Or19a-RB	REFSEQ:NM_080274
FBtr0070032	fd19B-RA	REFSEQ:NM_134525
FBtr0070034	Dop2R-RB	REFSEQ:NM_001014759
FBtr0070035	lky-RA	REFSEQ:NM_134521
FBtr0070036	CG12655-RA	REFSEQ:NM_134520
FBtr0070038	alpha-Cat-RA	REFSEQ:NM_079495
FBtr0070040	ND-MLRQ-RA	REFSEQ:NM_168988
FBtr0070041	ND-MLRQ-RB	REFSEQ:NM_168989
FBtr0070042	CkIIalpha-RA	REFSEQ:NM_168985
FBtr0070043	CkIIalpha-RB	REFSEQ:NM_080179
FBtr0070044	CkIIalpha-RC	REFSEQ:NM_168986
FBtr0070045	CG33217-RA	REFSEQ:NM_206425
FBtr0070046	Vps11-RA	REFSEQ:NM_168987
FBtr0070050	CG32819-RA	REFSEQ:NM_167767
FBtr0070051	CG32819-RB	REFSEQ:NM_167768
FBtr0070052	CG32857-RA	REFSEQ:NM_167766
FBtr0070053	CG32820-RA	REFSEQ:NM_167764
FBtr0070054	CG32820-RB	REFSEQ:NM_167765
FBtr0070055	CG33502-RA	REFSEQ:NM_206806
FBtr0070056	CG17450-RA	REFSEQ:NM_167762
FBtr0070057	CG17450-RB	REFSEQ:NM_167761
FBtr0070058	GCS2alpha-RB	REFSEQ:NM_143888
FBtr0070059	GCS2alpha-RC	REFSEQ:NM_167758
FBtr0070060	GCS2alpha-RA	REFSEQ:NM_167757
FBtr0070061	GCS2alpha-RE	REFSEQ:NM_167760
FBtr0070062	GCS2alpha-RD	REFSEQ:NM_167759
FBtr0070063	G9a-RA	REFSEQ:NM_130478
FBtr0070064	cin-RB	REFSEQ:NM_166835
