tx_name,gene_id,nexon,tx_len,utr5_len,utr3_len
NR_047865,12797867,2,2230,0,0
NR_133057,26067564,1,951,0,0
NR_123995,19834983,1,244,0,0
NR_123996,19835538,1,207,0,0
NM_001258883,33161,7,4153,634,495
NM_001258880,33161,5,3731,521,186
NM_001258882,33161,6,3454,244,186
NM_001258881,33161,6,3789,270,495
NM_134642,33161,5,4040,521,495
NM_001258884,33162,4,1430,111,113
NM_134643,33162,3,1841,216,113
NM_001169367,33162,3,1458,85,113
NM_001272859,33162,4,1536,604,113
NM_001169366,33162,3,1694,372,113
NM_134644,33163,2,1378,98,74
NM_134645,33165,12,6476,113,168
NM_001272861,33166,3,1221,79,206
NM_134646,33166,3,1583,79,379
NM_205880,48552,8,2387,270,890
NM_001258885,48552,4,961,176,437
NM_164361,48552,8,2184,176,1405
NM_001272862,48552,6,2298,294,1587
NM_164356,48552,7,2293,176,890
NM_164359,48552,7,2283,388,668
NM_080184,48552,7,2380,263,890
NM_164357,48552,7,2380,263,890
NM_164358,48552,7,2353,236,890
NM_164355,48552,7,2309,192,890
NM_164360,48552,7,2429,312,890
NM_164362,48552,6,1971,157,668
NM_001258886,33179,3,657,271,80
NM_001272863,33179,3,678,292,80
NM_001272864,33179,3,586,293,80
NR_123999,19835409,3,1062,0,0
NM_001169368,33172,2,1699,186,313
NM_057222,33172,2,2176,186,790
NM_164367,33172,1,2396,406,790
NR_073672,14462644,1,727,0,0
NR_073673,14462645,2,502,0,0
NM_134653,33175,1,905,55,133
NM_001272866,33179,2,869,483,80
NM_001272867,33179,3,798,412,80
NM_001169370,33179,3,568,182,80
NM_001169371,33179,3,507,121,80
NM_001272865,33179,3,415,122,80
NM_164371,33179,3,486,100,80
NM_164372,33179,2,623,237,80
NM_001298614,33180,3,1381,212,125
NM_134657,33180,3,1261,92,125
NM_001258887,44205,13,17963,1271,174
NM_001272875,44205,14,20622,3930,174
NM_164374,44205,12,17880,1023,174
NM_001272873,44205,14,19571,1271,1836
NM_079979,44205,11,19604,1019,1983
NM_001272874,44205,11,17143,592,174
NM_001272876,44205,11,18434,65,1836
NM_164375,44205,10,18859,592,1836
NM_078716,33182,2,903,91,65
NM_001272877,33184,3,3129,333,648
NM_134659,33184,3,2902,106,648
NM_001272878,33184,3,3121,106,867
NR_073674,14462646,1,400,0,0
NR_073675,14462647,1,1190,0,0
NR_073676,14462648,1,552,0,0
NM_134661,33187,2,1660,85,243
NR_073677,14462649,1,904,0,0
NR_073678,14462650,2,754,0,0
NM_134665,33192,3,2417,104,312
NM_001298615,33193,1,859,150,43
NM_134666,33193,1,830,49,115
NM_078719,33196,6,4008,244,653
NR_133058,26067572,1,449,0,0
NR_133059,26067573,2,1820,0,0
NM_134672,33200,2,748,150,220
NM_058006,33202,4,2023,150,400
NM_057922,33203,3,3319,553,1275
NM_001272888,33203,3,4618,553,2574
NM_001272886,33203,1,3528,360,2574
NM_001272887,33203,2,3447,279,2574
NM_001272889,33204,16,5300,740,807
NM_057504,33204,17,5486,740,807
NM_205884,33204,18,7347,740,2671
NM_205882,33204,17,5419,691,807
NM_057503,33204,17,5723,691,1093
NM_205883,33204,17,7127,691,2479
NM_175942,318893,1,991,30,106
NR_124001,19835000,1,1229,0,0
NR_124002,19835501,1,846,0,0
NM_164382,33208,5,1806,410,169
NR_073680,14462652,1,452,0,0
NM_057360,33210,3,3564,99,75
NM_057981,33212,3,3327,322,902
NM_057282,33214,2,601,123,139
NM_001272893,33214,2,768,123,306
NM_134679,33216,2,665,29,54
NM_134680,33217,4,2259,579,30
NM_001272894,33218,6,6454,718,1452
NM_057492,33218,6,6672,936,1452
NR_073681,14462653,1,566,0,0
NM_134681,33220,2,1488,154,269
NM_001272897,33221,8,2554,270,355
NM_001272898,33221,7,2642,270,620
NM_134682,33221,7,2629,270,355
NM_134684,33223,7,2592,100,242
NM_001272901,33225,8,4242,138,576
NM_001272902,33225,9,6084,1911,576
NR_133060,26067568,1,1815,0,0
NM_001272899,33225,8,4654,481,576
NR_133061,26067568,1,771,0,0
NM_057432,33225,8,4752,572,604
NM_001272900,33225,8,4482,302,541
NM_080359,33228,4,1532,63,143
NM_134687,33231,2,853,87,208
NM_134689,33233,1,2310,64,143
NM_134690,33235,3,4155,66,66
NM_001272908,33235,3,4346,66,257
NM_001272909,33237,4,1032,72,498
NM_134692,33237,3,1093,133,498
NM_057982,33239,3,1880,507,299
NR_133063,26067463,2,670,0,0
NR_144661,26067463,2,570,0,0
NM_134694,33241,2,683,58,223
NM_001272910,33241,2,1494,58,1091
NR_124003,14462654,1,499,0,0
NR_124004,19836232,1,559,0,0
NM_144385,53552,1,940,27,103
NM_134696,33244,1,2549,11,57
NR_124006,19835154,1,324,0,0
NR_124007,19836079,2,549,0,0
NM_080186,48572,1,2203,146,110
NM_164387,33248,11,5991,844,1229
NM_001258897,33248,11,5730,583,1229
NM_001298625,33248,11,5987,583,1486
NM_001169375,33248,6,2359,319,87
NM_001298623,33248,10,5800,319,4128
NM_001298624,33248,10,5633,319,4240
NM_078723,33248,10,5466,319,1229
NR_124008,19835404,1,580,0,0
NM_134697,33249,1,471,48,99
NM_144103,50198,1,406,6,100
NM_134698,33250,1,483,31,92
NM_078724,33251,4,2220,815,61
NM_001272912,33251,4,1426,21,61
NM_134699,33252,1,1823,85,19
NM_001272913,33252,2,4359,85,2555
NR_124009,19835966,1,468,0,0
NM_164388,318874,4,783,69,99
NM_134700,33254,2,1732,52,69
NM_134702,33256,1,1040,90,56
NM_001272915,33256,1,2104,90,1120
NM_057808,33259,1,1246,115,240
NM_001258898,33260,4,1731,263,508
NM_001038778,33260,2,2849,1478,561
NM_001169376,33260,4,1570,130,480
NM_134705,33260,3,1651,130,561
NM_001272916,33262,6,2825,770,408
NM_057628,33262,6,3735,1184,1318
NM_164389,33262,6,3618,653,1318
NM_164390,33262,6,3583,618,1318
NR_073684,14462656,1,462,0,0
NM_057917,33265,3,1320,168,156
NM_001272918,33265,3,1240,88,156
NM_134708,33266,3,780,213,129
NM_001272919,33266,3,646,79,129
NM_001272920,33266,3,1049,79,532
NR_124010,19835464,1,2677,0,0
NR_047869,12797871,1,91,0,0
NM_001347748,33267,3,1185,124,110
NM_134709,33267,3,1073,12,110
NM_001014455,33270,5,2639,321,431
NM_001014453,33270,5,4818,1109,301
NM_001272921,33270,6,4030,321,301
NM_001014454,33270,5,2731,413,431
NM_057308,33271,2,871,60,97
NM_001298627,33274,2,2749,232,147
NM_057276,33274,2,2605,88,147
NR_124012,19835568,1,319,0,0
NM_134713,33275,11,3004,112,69
NM_001103578,33276,10,3801,428,646
NM_134714,33276,11,4160,697,646
NR_167880,54520524,3,7886,0,0
NM_001169379,33279,1,1288,133,111
NM_134717,33279,2,1368,133,191
NM_078727,33282,3,2745,87,93
NM_134719,33283,5,2076,333,507
NM_001272923,33283,5,4075,333,2509
NM_134722,33286,7,3266,161,51
NM_134723,33287,4,1030,47,188
NM_134725,33289,3,2701,173,458
NM_134727,33291,5,2536,166,1032
NM_001272926,33291,5,2707,166,1200
NR_124014,19835078,1,348,0,0
NM_134728,33292,4,2029,170,320
NM_134729,33293,1,1628,43,73
NM_134731,33295,1,999,97,353
NM_001272928,33298,3,1198,241,120
NM_134733,33298,2,1272,315,120
NM_134735,33300,2,1925,97,64
NM_134736,33301,2,646,54,49
NM_164408,319028,3,497,53,24
NM_134738,33304,12,3331,192,124
NM_001272930,33304,12,3424,192,217
NM_001258901,33305,9,3956,260,2907
NM_001258902,33305,11,3781,174,2818
NM_001272931,33305,12,3118,174,2146
NM_134739,33305,13,3192,174,168
NM_164409,33305,13,3193,181,168
NM_134741,33307,2,1566,101,181
NM_001258903,33308,6,1893,476,364
NM_001272932,33308,6,1755,338,364
NM_001258904,33308,6,1825,420,364
NM_134742,33308,6,1833,416,364
NM_001258905,12797872,1,298,38,131
NM_001272933,12797872,1,513,38,346
NM_001258906,12797873,1,376,35,128
NM_001272934,12797873,1,459,35,211
NM_001272935,50196,1,550,189,118
NM_144101,50196,1,443,82,118
NM_134744,33310,4,802,101,275
NM_134746,33312,8,2477,70,331
NM_134747,33313,2,2090,32,60
NM_001272936,33313,2,2903,32,873
NM_134748,33314,12,5504,474,1001
NM_001382178,33314,13,6028,474,1543
NM_057650,33317,2,776,17,126
NM_134750,33318,2,746,141,95
NM_001298629,33318,2,1328,141,677
NM_001258907,33319,2,671,151,250
NM_058060,33319,1,675,155,250
NM_164412,33319,2,621,101,250
NM_164416,33325,3,953,246,86
NM_001298632,33325,4,755,48,86
NM_134755,33325,3,860,153,86
NR_124019,19836205,1,1586,0,0
